titulo,descripcion,imagen,ingredientes,fecha,fuente,Producto,Porción,Nutriente,Cantidad,Unidad,%VD,Cantidad_num,_origen_html,_row,Nutriente_unidad
Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Página web empresa oficial,Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,Porción: 200 g (1 vaso),Cianocobalamina (B12),1.4,µg,58.0,1.4,modal_html,0,Cianocobalamina (B12) [µg]
Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Página web empresa oficial,Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,Porción: 200 g (1 vaso),Calcio,306,mg,31.0,306.0,modal_html,0,Calcio [mg]
Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Página web empresa oficial,Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,Porción: 200 g (1 vaso),Zinc,2.5,mg,36.0,2.5,modal_html,0,Zinc [mg]
Galletitas Crackers Mix de Semillas Shiva,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Rótulo,Galletitas Crackers Mix de Semillas Shiva,Porción: 30 g (4 galletitas),Valor energético,129,kcal,6.0,129.0,modal_html,1,Valor energético [kcal]
Galletitas Crackers Mix de Semillas Shiva,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Rótulo,Galletitas Crackers Mix de Semillas Shiva,Porción: 30 g (4 galletitas),Azúcares,0.4,g,,0.4,modal_html,1,Azúcares [g]
Galletitas Crackers Mix de Semillas Shiva,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Rótulo,Galletitas Crackers Mix de Semillas Shiva,Porción: 30 g (4 galletitas),Proteínas,2.9,g,4.0,2.9,modal_html,1,Proteínas [g]
Galletitas Crackers Mix de Semillas Shiva,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Rótulo,Galletitas Crackers Mix de Semillas Shiva,Porción: 30 g (4 galletitas),Grasas saturadas,1.4,g,6.0,1.4,modal_html,1,Grasas saturadas [g]
Galletitas Crackers Mix de Semillas Shiva,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Rótulo,Galletitas Crackers Mix de Semillas Shiva,Porción: 30 g (4 galletitas),Grasas trans,0,g,,0.0,modal_html,1,Grasas trans [g]
Galletitas Crackers Mix de Semillas Shiva,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Rótulo,Galletitas Crackers Mix de Semillas Shiva,Porción: 30 g (4 galletitas),Fibra,1,g,4.0,1.0,modal_html,1,Fibra [g]
Galletitas Crackers Mix de Semillas Shiva,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Rótulo,Galletitas Crackers Mix de Semillas Shiva,Porción: 30 g (4 galletitas),Sodio,89,mg,4.0,89.0,modal_html,1,Sodio [mg]
